ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
386,ETNT,,Fri,1/11/2016,Mon,Article,kindbarrank,teaspot,DM,
387,ETNT,,Mon,1/12/2016,Tue,Article,traderjoes,greentea,DM,green tea now in paperback
388,ETNT,,Fri,1/12/2016,Tue,,greenteapaperonsale,,JP,
389,ETNT,,Tues,1/13/2016,Wed,Main Story,cheapfoodsforabs,zbapp,DM,
390,ETNT,,Weds,1/14/2016,Thu,Article,foodshungrier,etntde,DM,
391,ETNT,,Thurs,1/15/2016,Fri,Article,suguariestmeals,etntabs,DM,
392,ETNT,,Thurs,1/16/2016,Sat,Article,sodabellyvideo,teacleanse,DM,
393,ETNT,,Fri,1/17/2016,Sun,,etntdefulllist,,JP,
394,ETNT,,Fri,1/18/2016,Mon,Article,turkeyneck,etntgame,DM,
395,ETNT,,Fri,1/19/2016,Tue,Article,worstbedtimefoods,zbsmoothies,DM,
396,ZB,Y,Tue,1/19/2016,Tue,ZBD Main Story,,n/a,DC,Pick up 385
397,ZB,,Tue,1/19/2016,Tue,Promo,smoothiesonsale,n/a,JP,Throttled over 1 day
398,ETNT,,Tue,1/20/2016,Wed,Main Story,metabolismbreakfast,greentea,DM,
399,ETNT,,Wed,1/21/2016,Thu,Article,melissamccarthy,zbapp,DM,
400,ETNT,,Thu,1/22/2016,Fri,Article,metabolismmyths,zbcook,DM,
401,ETNT,,Thu,1/23/2016,Sat,Article,bulkguide,etntabs,DM,
402,ETNT,,Thu,1/24/2016,Sun,Promo TBD,hamptonslane,n/a,JP,
403,ETNT,,Fri,1/25/2016,Mon,Article,bananasandyourbody,zbsmoothies,DM,
404,ZBD,,Thu,1/25/2016,Mon,ZBD Main Story,,n/a,JP,STARTS WEEKLY PRODUCTION
405,ETNT,,Mon,1/26/2016,Tue,Main Story,walkingtips,etntde,DM,
406,ETNT,,Tue,1/27/2016,Wed,Article,fullsodaranking,zerobelly.com,DM,
407,ETNT,,Tue,1/27/2016,Wed,Promo,absebookfemale,,JP,
408,ETNT,,Wed,1/28/2016,Thu,Article,lazyways,teacleanse,DM,
409,ETNT,,Thu,1/29/2016,Fri,Article,mcdonaldsbreakfast,etntgame,DM,
410,ETNT,,Thu,1/30/2016,Sat,Article,cheapstorealdis,greentea,DM,
411,ETNT,,Thu,1/31/2016,Sun,Promo TBD,zbappnewimp,n/a,JP,
412,ETNT,,Fri,2/1/2016,Mon,Main Story,anistonbreakfast,zbapp,DM,
413,ZBD,,Wed,2/1/2016,Mon,ZBD Main Story,7bestcombos,n/a,JP,
414,ETNT,,Mon,2/2/2016,Mon,Article,etntsurvey,n/a,DM,
415,ETNT,,Mon,2/2/2016,Tue,Article,coconutoil,etntabs,DM,
416,ETNT,,Tue,2/3/2016,Wed,Article,pastaranking,zbsmoothies,DM,
417,ETNT,,Wed,2/4/2016,Thu,Article,sixpackhabits,teacleanse,DM,
418,ETNT,,Thu,2/5/2016,Fri,Article,carbcheattrick,zbapp,DM,
419,ETNT,,Thu,2/6/2016,Sat,Main Story,potatochipranking,zbcook,DM,
420,ETNT,,Thu,2/7/2016,Sun,Promo TBD,teacleanseww,n/a,JP,
421,ZBD,,Fri,2/8/2016,Mon,Article,etntagingguide,greentea,DM,
422,ETNT,,Wed,2/8/2016,Mon,ZBD Main Story,25nevereat,n/a,JP,
423,ETNT,,Mon,2/9/2016,Tue,Article,dietplanquiz,etntgame,DM,
424,ETNT,,Tue,2/10/2016,Wed,Article,eatinghabits,teaspot,DM,
425,ETNT,,Wed,2/11/2016,Thu,Article,drinkingrules,etntabs,DM,
426,ETNT,,Thu,2/12/2016,Fri,Main Story,olivegardenranking,teacleanse,DM,
427,ETNT,,Thu,2/13/2016,Sat,Article,valentinesday,etntde,DM,
428,ETNT,,Thu,2/14/2016,Sun,Promo TBD,zbsmoothies2,n/a,JP,
