ETNT Article-focused template:,,,,,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,,,,,
Promo template: ,,,,,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,,,,,
DE preview (new issue),,,,,,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments,PTH mailing,PTH subject,PTH screenshot,PTH template
588,ETNT,,Thu,6/24/2016,Fri,Article,,teaspot,DM,,,,,
589,ETNT,,Thu,6/25/2016,Sat,Main Story,,etntexpecting,DM,,,,,
590,ETNT,,Thu,6/26/2016,Sun,Promo TBD,etntdesummer,n/a,JP,Canceled - store not updated,,,,
591,ETNT,,Fri,6/27/2016,Mon,Article,,etntrapid,DM,,,,,
592,ZBD,,Wed,6/27/2016,Mon,ZBD Main Story,linksformat,n/a,JP,Likely will postpone release to 6/28,,,,
593,ETNT,,Mon,6/28/2016,Tue,Article,hummusbrands,zbsmoothies,DM,,,,,
594,ETNT,,Fri,6/28/2016,Tue,Promo TBD,zbsmoothies,,JP,Extra promo - Paperback edition on-sale date,121515-354peanutbutterranking-14-12-2015-1450121289,The Worst Peanut Butter on the Planet,http://i.imgur.com/25BftqA.png,https://engage3.silverpop.com/ux/#/composer/24240083
595,ETNT,,Tue,6/29/2016,Wed,Article,bestrestauranteats,etntde,DM,,091115-241fruitbloat-08-09-2015-1441769678,5 Worst Fruits for Your Flat Belly,http://i.imgur.com/5yLFFyL.png,https://engage3.silverpop.com/ux/#/composer/23458653
596,ETNT,,Wed,6/30/2016,Thu,Article,smoothiesperday,shapetea,DM,,092815-263kickfridge-25-09-2015-1443206001,13 Foods To Throw Away—Now!,http://i.imgur.com/ta8bfrS.png,https://engage3.silverpop.com/ux/#/composer/23602378
597,ETNT,,Wed,7/1/2016,Fri,Main Story,frozenpizzas,zbapp,DM,Holiday- 4th of July,n/a,,,
