ETNT Article-focused template:,,,,,,,,,,
 https://docs.google.com/a/galvanized.com/document/d/1QOjKruOSN_9ADKvfl7eKSEyVikarBIQLfEV5FMkK8Qk/edit,,,,,,,,,,
ETNT Main-story focused template: ,,,,,,,,,,
https://docs.google.com/a/galvanized.com/document/d/1fZy39nrUd_4qbecB1hbckphDuonQLNhmBXoH2A81J6s/edit,,,,,,,,,,
Promo template: ,,,,,,,,,,
https://docs.google.com/document/d/1ACfRvnZX1CBly-w_TvvWi2roq97Fbw_o8wMzfx8ut6c/edit,,,,,,,,,,
DE preview (new issue),,,,,,,,,,
https://docs.google.com/document/d/1-puBVxbgIcazCEv53y3uOwDdBg5ViDgF8YYktJSQhZE/edit,,,,,,,,,,
NOTES,,,,,,,,,,
No.,List,Pickup?,Due,Releases,Day,Design,Content,Promo,Who,Status/ Comments
588,ETNT,,Thu,6/24/2016,Fri,Article,,teaspot,DM,
589,ETNT,,Thu,6/25/2016,Sat,Main Story,,etntexpecting,DM,
590,ETNT,,Thu,6/26/2016,Sun,Promo TBD,,n/a,JP,
591,ETNT,,Fri,6/27/2016,Mon,Main Story,,etntrapid,DM,
592,ZBD,,Wed,6/27/2016,Mon,ZBD Main Story,linksformat,n/a,JP,Likely will postpone release to 6/28
593,ETNT,,Mon,6/28/2016,Tue,,,etntde,DM,
594,ETNT,,Fri,6/28/2016,Tue,Promo TBD,zbsmoothies,,JP,Extra promo - Paperback edition on-sale date
595,ETNT,,Tue,6/29/2016,Wed,,,,DM,
596,ETNT,,Wed,6/30/2016,Thu,,,shapetea,DM,
597,ETNT,,Wed,7/1/2016,Fri,,,,DM,Holiday- 4th of July
598,ETNT,,Thu,7/2/2016,Sat,,,,DM,
599,ETNT,,Thu,7/3/2016,Sun,,,,JP,
600,ETNT,,Thu,7/4/2016,Mon,,,,DM,Moved for 4th of July
601,ZBD,,Wed,7/4/2016,Mon,ZBD Main Story,,,JP,
602,ETNT,,Fri,7/5/2016,Tue,,,,DM,Holiday- 4th of July
